Grouping,Company Name,Tech Day URL,Social Profiles URLs,Company Description,Company URL
Exhibitors,Braavo Capital,https://techdayhq.com/companies/braavo-capital,"https://www.facebook.com/getbraavo/,http://twitter.com/getbraavo,https://www.linkedin.com/company/braavocapital/,/community/startups/braavo-capital","Braavo Capital is changing the way mobile entrepreneurs finance and grow their app businesses. We use data, integrations and automation to deliver performance-based funding that’s available on demand, eliminating the need for time-consuming fundraising and due diligence. Furthermore, our financing products are entirely nondilutive, so entrepreneurs can hang on to their hard-earned equity ownership. ",http://www.getbraavo.com
Exhibitors,GoNation,https://techdayhq.com/companies/gonation-be8e881b-cee8-4ced-9071-944d8527fb87,"https://www.facebook.com/gonation,http://twitter.com/gonation,https://www.linkedin.com/company/gonation,/community/startups/gonation-be8e881b-cee8-4ced-9071-944d8527fb87","GoNation makes real-time local discovery fun, easy, and fast, allowing people to tap into their area on a mobile device and share what is hot and happening nearby. People are empowered with the ability to search, filter and sort how they see the pulse of their desired location.",htttps://www.gonation.com
Exhibitors,"FreezeCrowd, Inc.",https://techdayhq.com/companies/freezecrowd-inc-605ffeb3-6603-427d-849b-a301821792d0,"http://twitter.com/freezecrowd,https://www.linkedin.com/company/354066/,/community/startups/freezecrowd-inc-605ffeb3-6603-427d-849b-a301821792d0","FreezeCrowd is a unique social media platform and network for college students and alumni that connects you in photos with friends! It's cool or unique because everyone has an ice cube over their profile picture, and you ""break the ice"" when visiting a friends profile. By breaking the ice, you can ask a question, send off a message in the future, play an educational game, among other interesting applications that can be built over the break the ice feature. When you upload a profile picture on FreezeCrowd, it's not just a picture, yet a picture with an ice cube around it, and you can set a timer on the ice cube to melt or freeze over to show that your profile picture is dated, and be notified to upload your most recent picture. This keeps you updated with your profile picture, so that you don't have the same one that is outdated. ",http://www.freezecrowd.com
Exhibitors,ART+LOGIC,https://techdayhq.com/companies/art-logic-d54fef88-2967-4798-a385-593017aa425a,"https://www.facebook.com/artandlogic/,http://twitter.com/artandlogic,https://www.linkedin.com/company/66853/",Innovative Software designed and developed by an elite team of North American artists and engineers.,https://artandlogic.com/ 
Exhibitors,Flashback Sticker Attack!,https://techdayhq.com/companies/flashback-sticker-attack,"https://www.instagram.com/FlashbackStickerAttack/,http://twitter.com/StickerAttack,/community/startups/flashback-sticker-attack","Once you drop Flashback Sticker Attack! in a message, all that blinking color and animation starts to take over—it’s probably going to be an interesting text.",http://www.flashbackstickerattack.com
Exhibitors,Fareportal/CheapOair,https://techdayhq.com/companies/fareportal-f62cb045-416d-41ad-9e69-4808c1dcfbc8,https://www.linkedin.com/company/89938/,,http://www.fareportal.com/
Exhibitors,SeedLawyers,https://techdayhq.com/companies/seedlawyers,"https://www.facebook.com/seedlawyers/,http://twitter.com/seedlawyers,https://www.linkedin.com/company/seed-lawyers/,/community/startups/seedlawyers",,https://seedlawyers.com
Exhibitors,Architectronics,https://techdayhq.com/companies/architectronics,http://twitter.com/innovationlab,"Educational hardware and software for innovation, invention, science, physical computing, coding, fun",www.makesense.co
Exhibitors,Swoogo,https://techdayhq.com/companies/swoogo,"https://www.facebook.com/swoogo,http://twitter.com/swoogo,https://www.linkedin.com/swoogo,/community/startups/swoogo",Smart companies like Moveable Ink are seeing 19 - 70x return on their event marketing campaigns. Braze says that 70% of the top 10 campaigns that drive Sales Qualified Leads were event programs engagements.,https://www.swoogo.com
Exhibitors,Citispoon,https://techdayhq.com/companies/citispoon-0ff04422-543e-4204-9e32-c82b41fbbba0,"https://www.facebook.com/citispoon/,http://twitter.com/https://twitter.com/citispoon/,/community/startups/citispoon-0ff04422-543e-4204-9e32-c82b41fbbba0","Citispoon— a community-based app that considers all the factors it takes to make your dining decision smooth and easy. Where users source the best places to eat in your city, all while generating real-time wait-times to save you time for more dining experiences.",www.citispoon.com
Exhibitors,Museum Hack,https://techdayhq.com/companies/museum-hack-bccd88bb-ce4b-4ccf-ae09-bf8a0a1fdc5c,"https://www.facebook.com/MuseumHack/,http://twitter.com/https://twitter.com/MuseumHack,https://www.linkedin.com/company/museum-hack,/community/startups/museum-hack-bccd88bb-ce4b-4ccf-ae09-bf8a0a1fdc5c",We provide renegade museum tours at some of the best museums in the country.,https://museumhack.com/
Exhibitors,Checkmate Digital,https://techdayhq.com/companies/checkmate-digital,"https://www.facebook.com/WeCheckmate,http://twitter.com/WeCheckmate,https://www.linkedin.com/company/9427582/,/community/startups/checkmate-digital","We work with entrepreneurs who understand the problem they solve, and why they solve it.",http://www.Checkmate.digital
Exhibitors,MetroTables Inc.,https://techdayhq.com/companies/metrotables-inc,"https://www.facebook.com/metrotables/,http://twitter.com/https://twitter.com/MetroTables,/community/startups/metrotables-inc","Dynamic restaurant pricing, just like the airline industry. Pay less during slow times, or pay premium pricing during peak hours for those hard to get tables.",www.metrotables.com
Exhibitors,PetPlate,https://techdayhq.com/companies/petplate-48380d69-5508-4656-871a-ddf78c27c9bc,,,
Exhibitors,OTC Markets,https://techdayhq.com/companies/otc-markets,"https://www.facebook.com/OTCMarkets,http://twitter.com/https://twitter.com/OTCMarkets,https://www.linkedin.com/company/otc-markets-group?trk=biz-companies-cym,/community/startups/otc-markets","OTC Markets Group Inc. (OTCQX: OTCM) operates the OTCQX® Best Market, the OTCQB® Venture Market, and the Pink® Open Market for 10,000 U.S. and global securities. Through OTC Link® ATS, we connect a diverse network of broker-dealers that provide liquidity and execution services. We enable investors to easily trade through the broker of their choice and empower companies to improve the quality of information available for investors.",www.otcmarkets.com
Exhibitors,"Unfold, Inc.",https://techdayhq.com/companies/unfold-inc,"https://www.facebook.com/UnfoldInc/,http://twitter.com/@UnfoldInc",Unfold Pro is the essential all-in-one government relations solution you've been waiting for. ,https://unfold.com/
Exhibitors,ProGlove,https://techdayhq.com/companies/proglove-5d7e7d1a-e7a6-4448-8906-66f52bb237ac,"https://www.facebook.com/proglove.wearable/,http://twitter.com/https://twitter.com/ProGlove,https://www.linkedin.com/company-beta/10920176/,/community/startups/proglove-5d7e7d1a-e7a6-4448-8906-66f52bb237ac","ProGlove develops a smart glove that enables manufacturing and logistics staff to work faster, safer and easier. Process steps can be documented handsfree and the smart glove gives instant feedback to its user. Current applications include the hands-free scanning of goods, monitoring and training of workflow sequences, identification of tools and parts to avoid incorrect usage, and documentation of goods and processes. ",http://www.proglove.de/
Exhibitors,Scouted,https://techdayhq.com/companies/scouted-6f2e9a70-0234-4e6e-a366-97bd0665f4a9,/community/startups/scouted-6f2e9a70-0234-4e6e-a366-97bd0665f4a9,,http://www.scouted.io
Exhibitors,JBCconnect,https://techdayhq.com/companies/jbcconnect-16d88794-dc91-4bca-93d3-14a37d25f3ce,"https://www.facebook.com/JBCConnect/,http://twitter.com/JBCconnect,https://www.linkedin.com/company/1669252?trk=tyah&trkInfo=clickedVertical%3Acompany%2CentityType%3AentityHistoryName%2CclickedEntityId%3Acompany_1669252%2Cidx%3A0,/community/startups/jbcconnect-16d88794-dc91-4bca-93d3-14a37d25f3ce","JBCconnect is a full service creative technology talent agency, bringing exceptional talent from the advertising, media, marketing, public relations, technology and creative industries to the world’s most innovative agencies and tech-forward companies.",www.jbcconnect.com 
